time,scale_factor_flat_k0,scale_factor_closed_k1,volume_closed_S3,hubble_rate,acceleration_ddot_a,cosmological_phase
-5.0,0.068855,18.438427,123737.5058,-0.625801,7.275219,Contraction (collapse)
-4.9,0.073319,17.320178,102562.0664,-0.625488,6.833994,Contraction (collapse)
-4.8,0.078072,16.27029,85018.9338,-0.625133,6.419741,Contraction (collapse)
-4.7,0.083133,15.284622,70484.5331,-0.62473,6.030828,Contraction (collapse)
-4.6,0.088523,14.359281,58442.3729,-0.624274,5.665718,Contraction (collapse)
-4.5,0.094262,13.490616,48464.6551,-0.623758,5.32297,Contraction (collapse)
-4.4,0.100373,12.675199,40197.0416,-0.623173,5.001232,Contraction (collapse)
-4.3,0.10688,11.90981,33346.0392,-0.62251,4.699234,Contraction (collapse)
-4.2,0.113809,11.191429,27668.5495,-0.621759,4.415784,Contraction (collapse)
-4.1,0.121187,10.517221,22963.2147,-0.620909,4.149762,Contraction (collapse)
-4.0,0.129044,9.884523,19063.2488,-0.619946,3.90012,Contraction (collapse)
-3.9,0.137409,9.29084,15830.5013,-0.618857,3.665871,Contraction (collapse)
-3.8,0.146318,8.733827,13150.5387,-0.617623,3.446092,Contraction (collapse)
-3.7,0.155803,8.211287,10928.5725,-0.616228,3.239914,Contraction (collapse)
-3.6,0.165904,7.721156,9086.0852,-0.61465,3.046524,Contraction (collapse)
-3.5,0.176659,7.261501,7558.0366,-0.612865,2.865158,Contraction (collapse)
-3.4,0.188112,6.830507,6290.5492,-0.610848,2.695102,Contraction (collapse)
-3.3,0.200307,6.426473,5238.9919,-0.608568,2.535683,Contraction (collapse)
-3.2,0.213293,6.047803,4366.3921,-0.605993,2.386272,Contraction (collapse)
-3.1,0.227121,5.693005,3642.1211,-0.603087,2.246279,Contraction (collapse)
-3.0,0.241845,5.360676,3040.8044,-0.599808,2.115153,Contraction (collapse)
-2.9,0.257524,5.049506,2541.4203,-0.596111,1.992375,Contraction (collapse)
-2.8,0.274219,4.758267,2126.5523,-0.591947,1.877461,Contraction (collapse)
-2.7,0.291996,4.485808,1781.7703,-0.587259,1.769958,Contraction (collapse)
-2.6,0.310926,4.231054,1495.1182,-0.581986,1.66944,Contraction (collapse)
-2.5,0.331083,3.993001,1256.6892,-0.576063,1.575512,Contraction (collapse)
-2.4,0.352547,3.770707,1058.2743,-0.569417,1.487802,Contraction (collapse)
-2.3,0.375403,3.563297,893.0706,-0.56197,1.405964,Contraction (collapse)
-2.2,0.39974,3.369951,755.4408,-0.553637,1.329676,Contraction (collapse)
-2.1,0.425655,3.189906,640.7127,-0.544328,1.258636,Contraction (collapse)
-2.0,0.45325,3.022451,545.0141,-0.533949,1.192564,Contraction (collapse)
-1.9,0.482634,2.866926,465.1354,-0.522401,1.131198,Contraction (collapse)
-1.8,0.513923,2.722717,398.4165,-0.509582,1.074298,Contraction (collapse)
-1.7,0.54724,2.589255,342.6525,-0.495388,1.021638,Contraction (collapse)
-1.6,0.582717,2.466012,296.0159,-0.479716,0.97301,Contraction (collapse)
-1.5,0.620494,2.352502,256.992,-0.462467,0.928223,Contraction (collapse)
-1.4,0.660721,2.248277,224.3259,-0.443548,0.887099,Contraction (collapse)
-1.3,0.703555,2.152927,196.978,-0.422875,0.849477,Contraction (collapse)
-1.2,0.749166,2.066074,174.0874,-0.400378,0.815207,Contraction (collapse)
-1.1,0.797734,1.987376,154.9422,-0.376008,0.784156,Contraction (collapse)
-1.0,0.849451,1.916522,138.954,-0.349736,0.756199,Contraction (collapse)
-0.9,0.90452,1.853232,125.6375,-0.321563,0.731227,Contraction (collapse)
-0.8,0.96316,1.797257,114.5936,-0.29152,0.709141,Contraction (collapse)
-0.7,1.025601,1.748376,105.4956,-0.259675,0.689854,Contraction (collapse)
-0.6,1.09209,1.706396,98.0774,-0.226134,0.67329,Contraction (collapse)
-0.5,1.16289,1.671151,92.1248,-0.191043,0.659383,Contraction (collapse)
-0.4,1.238279,1.642501,87.4675,-0.154588,0.648079,Contraction (collapse)
-0.3,1.318556,1.620335,83.9739,-0.116989,0.639333,Contraction (collapse)
-0.2,1.404038,1.604564,81.5457,-0.078501,0.63311,BOUNCE (quantum bounce)
-0.1,1.495061,1.595126,80.1152,-0.039405,0.629386,BOUNCE (quantum bounce)
0.0,1.591985,1.591985,79.6428,0.0,0.628147,BOUNCE (quantum bounce)
0.1,1.695192,1.595126,80.1152,0.039405,0.629386,BOUNCE (quantum bounce)
0.2,1.805091,1.604564,81.5457,0.078501,0.63311,de Sitter expansion
0.3,1.922114,1.620335,83.9739,0.116989,0.639333,de Sitter expansion
0.4,2.046723,1.642501,87.4675,0.154588,0.648079,de Sitter expansion
0.5,2.179411,1.671151,92.1248,0.191043,0.659383,de Sitter expansion
0.6,2.320702,1.706396,98.0774,0.226134,0.67329,de Sitter expansion
0.7,2.471151,1.748376,105.4956,0.259675,0.689854,de Sitter expansion
0.8,2.631355,1.797257,114.5936,0.29152,0.709141,de Sitter expansion
0.9,2.801944,1.853232,125.6375,0.321563,0.731227,de Sitter expansion
1.0,2.983593,1.916522,138.954,0.349736,0.756199,de Sitter expansion
1.1,3.177018,1.987376,154.9422,0.376008,0.784156,de Sitter expansion
1.2,3.382982,2.066074,174.0874,0.400378,0.815207,de Sitter expansion
1.3,3.602299,2.152927,196.978,0.422875,0.849477,de Sitter expansion
1.4,3.835834,2.248277,224.3259,0.443548,0.887099,de Sitter expansion
1.5,4.084509,2.352502,256.992,0.462467,0.928223,de Sitter expansion
1.6,4.349306,2.466012,296.0159,0.479716,0.97301,de Sitter expansion
1.7,4.631269,2.589255,342.6525,0.495388,1.021638,de Sitter expansion
1.8,4.931512,2.722717,398.4165,0.509582,1.074298,de Sitter expansion
1.9,5.251219,2.866926,465.1354,0.522401,1.131198,de Sitter expansion
2.0,5.591653,3.022451,545.0141,0.533949,1.192564,de Sitter expansion
2.1,5.954157,3.189906,640.7127,0.544328,1.258636,de Sitter expansion
2.2,6.340162,3.369951,755.4408,0.553637,1.329676,de Sitter expansion
2.3,6.751191,3.563297,893.0706,0.56197,1.405964,de Sitter expansion
2.4,7.188868,3.770707,1058.2743,0.569417,1.487802,de Sitter expansion
2.5,7.654918,3.993001,1256.6892,0.576063,1.575512,de Sitter expansion
2.6,8.151182,4.231054,1495.1182,0.581986,1.66944,de Sitter expansion
2.7,8.679619,4.485808,1781.7703,0.587259,1.769958,de Sitter expansion
2.8,9.242315,4.758267,2126.5523,0.591947,1.877461,de Sitter expansion
2.9,9.841489,5.049506,2541.4203,0.596111,1.992375,de Sitter expansion
3.0,10.479508,5.360676,3040.8044,0.599808,2.115153,de Sitter expansion
3.1,11.158889,5.693005,3642.1211,0.603087,2.246279,de Sitter expansion
3.2,11.882314,6.047803,4366.3921,0.605993,2.386272,de Sitter expansion
3.3,12.652638,6.426473,5238.9919,0.608568,2.535683,de Sitter expansion
3.4,13.472902,6.830507,6290.5492,0.610848,2.695102,de Sitter expansion
3.5,14.346343,7.261501,7558.0366,0.612865,2.865158,de Sitter expansion
3.6,15.276409,7.721156,9086.0852,0.61465,3.046524,de Sitter expansion
3.7,16.266771,8.211287,10928.5725,0.616228,3.239914,de Sitter expansion
3.8,17.321337,8.733827,13150.5387,0.617623,3.446092,de Sitter expansion
3.9,18.44427,9.29084,15830.5013,0.618857,3.665871,de Sitter expansion
4.0,19.640003,9.884523,19063.2488,0.619946,3.90012,de Sitter expansion
4.1,20.913254,10.517221,22963.2147,0.620909,4.149762,de Sitter expansion
4.2,22.269049,11.191429,27668.5495,0.621759,4.415784,de Sitter expansion
4.3,23.71274,11.90981,33346.0392,0.62251,4.699234,de Sitter expansion
4.4,25.250025,12.675199,40197.0416,0.623173,5.001232,de Sitter expansion
4.5,26.886971,13.490616,48464.6551,0.623758,5.32297,de Sitter expansion
