redshift_z,mu_observed_mag,mu_error_sigma,mu_roi_predicted,residual_mag
0.02,34.8385,0.07,34.8038,0.0348
0.0858,38.1411,0.07,38.1508,-0.0097
0.1517,39.6072,0.07,39.5619,0.0453
0.2175,40.6181,0.07,40.5115,0.1066
0.2833,41.2287,0.07,41.2451,-0.0164
0.3492,41.8352,0.07,41.8516,-0.0164
0.415,42.484,0.07,42.3734,0.1105
0.4808,42.8881,0.07,42.8344,0.0537
0.5467,43.2162,0.07,43.2491,-0.0329
0.6125,43.6653,0.07,43.6274,0.038
0.6783,43.9436,0.07,43.976,-0.0324
0.7442,44.2675,0.07,44.3001,-0.0326
0.81,44.6202,0.07,44.6033,0.0169
0.8758,44.7546,0.07,44.8886,-0.1339
0.9417,45.0374,0.07,45.1582,-0.1207
1.0075,45.3747,0.07,45.414,-0.0394
1.0733,45.5867,0.07,45.6576,-0.0709
1.1392,45.9123,0.07,45.8903,0.022
1.205,46.0495,0.07,46.1131,-0.0636
1.2708,46.228,0.07,46.3268,-0.0989
1.3367,46.635,0.07,46.5324,0.1026
1.4025,46.7147,0.07,46.7305,-0.0158
1.4683,46.9263,0.07,46.9216,0.0047
1.5342,47.0066,0.07,47.1063,-0.0997
1.6,47.247,0.07,47.2851,-0.0381
