time,p_hub_q0,p_hub_q25,ipr_bulk_q0,ipr_bulk_q25,qiskit_cirq_match
0.2,0.02449,0.003074,0.717147,0.938023,OK (<1e-15)
0.4,0.013993,0.010749,0.284657,0.774818,OK (<1e-15)
0.6,0.004499,0.019158,0.131596,0.567386,OK (<1e-15)
0.8,0.028559,0.024066,0.104156,0.37785,OK (<1e-15)
1.0,0.003681,0.023,0.095972,0.242993,OK (<1e-15)
1.2,0.015163,0.016498,0.098728,0.164958,OK (<1e-15)
1.4,0.023638,0.007835,0.087054,0.126345,OK (<1e-15)
1.6,4.8e-05,0.001373,0.08625,0.109337,OK (<1e-15)
1.8,0.025274,0.000369,0.073087,0.102991,OK (<1e-15)
2.0,0.012826,0.005328,0.058494,0.101368,OK (<1e-15)
2.2,0.005383,0.013752,0.055033,0.100625,OK (<1e-15)
2.4,0.028464,0.021397,0.051908,0.098151,OK (<1e-15)
2.6,0.002933,0.024414,0.053044,0.092863,OK (<1e-15)
2.8,0.016326,0.021282,0.053284,0.085305,OK (<1e-15)
3.0,0.022723,0.013579,0.048912,0.077105,OK (<1e-15)
3.2,0.000191,0.005185,0.055831,0.07024,OK (<1e-15)
3.4,0.025984,0.000328,0.064306,0.066448,OK (<1e-15)
3.6,0.011668,0.001455,0.070848,0.066513,OK (<1e-15)
3.8,0.006327,0.007998,0.05548,0.069238,OK (<1e-15)
4.0,0.028273,0.016661,0.05461,0.07118,OK (<1e-15)
4.2,0.002262,0.023081,0.055834,0.068726,OK (<1e-15)
4.4,0.017476,0.024023,0.059658,0.061632,OK (<1e-15)
4.6,0.021752,0.019014,0.071031,0.053785,OK (<1e-15)
4.8,0.000429,0.010576,0.060932,0.049346,OK (<1e-15)
5.0,0.026615,0.00296,0.046802,0.048976,OK (<1e-15)
5.2,0.010528,1e-06,0.04799,0.050639,OK (<1e-15)
5.4,0.007324,0.003191,0.060787,0.052719,OK (<1e-15)
5.6,0.027989,0.010922,0.064313,0.054979,OK (<1e-15)
5.8,0.001671,0.019301,0.062739,0.056889,OK (<1e-15)
6.0,0.018605,0.024106,0.051105,0.056716,OK (<1e-15)
6.2,0.020731,0.022918,0.053164,0.053568,OK (<1e-15)
6.4,0.00076,0.016335,0.064352,0.049453,OK (<1e-15)
6.6,0.027164,0.007672,0.065061,0.047577,OK (<1e-15)
6.8,0.009413,0.001294,0.053377,0.049029,OK (<1e-15)
7.0,0.008368,0.000413,0.055751,0.052311,OK (<1e-15)
7.2,0.027612,0.005473,0.057444,0.055721,OK (<1e-15)
7.4,0.001165,0.013924,0.075439,0.059143,OK (<1e-15)
7.6,0.019704,0.021511,0.081512,0.063249,OK (<1e-15)
7.8,0.019666,0.024411,0.058929,0.067387,OK (<1e-15)
8.0,0.001181,0.021164,0.049935,0.069145,OK (<1e-15)
8.2,0.027627,0.013405,0.05683,0.066576,OK (<1e-15)
8.4,0.008331,0.005043,0.050864,0.060537,OK (<1e-15)
8.6,0.009452,0.000289,0.054982,0.054494,OK (<1e-15)
8.8,0.027146,0.001538,0.053112,0.052061,OK (<1e-15)
9.0,0.000747,0.008162,0.044751,0.05431,OK (<1e-15)
9.2,0.020767,0.016823,0.051491,0.058812,OK (<1e-15)
9.4,0.018565,0.023159,0.070225,0.061569,OK (<1e-15)
9.6,0.00169,0.023978,0.054603,0.060709,OK (<1e-15)
9.8,0.028,0.018869,0.054584,0.058121,OK (<1e-15)
10.0,0.007288,0.010404,0.05604,0.056993,OK (<1e-15)
